lon,lat,x_utm_km,y_utm_km,n_events,n_online,proportion,hlogit
-50.025000000000006,-28.775,595.1723409306609,6816.55221389915,84,65.0,0.7738095238095238,1.211635677071505
-50.575,-29.724999999999998,541.1030030764747,6711.610651353636,1811,1618.0,0.8934290447266704,2.1239775608964626
-50.925000000000004,-29.824999999999996,507.2462353784588,6700.603448856073,481,395.0,0.8212058212058212,1.520006373269875
-54.175000000000004,-29.824999999999996,193.16283242732823,6696.374788963055,1257,666.0,0.5298329355608592,0.11937845620032193
-54.925000000000004,-27.974999999999998,113.82478709628852,6899.355965333888,4635,3018.0,0.6511326860841424,0.6238782718614252
-54.375,-31.174999999999997,178.30498404038988,6546.095260147467,359,202.0,0.5626740947075209,0.25131442828090617
-55.275000000000006,-28.124999999999996,79.93924465534539,6881.5545043112725,582,514.0,0.8831615120274914,2.016361810005925
-51.725,-28.174999999999997,428.83060349445265,6883.199123374945,95,21.0,0.22105263157894736,-1.2427461902518966
-51.925000000000004,-30.124999999999996,410.8959751239435,6667.002494794302,9055,8200.0,0.9055770292655991,2.2602643136709153
-53.075,-30.374999999999996,300.6063110488977,6637.834203917894,296,160.0,0.5405405405405406,0.16196932794505617
-51.925000000000004,-28.624999999999996,409.57966992019374,6833.2103241758205,2760,2234.0,0.8094202898550724,1.445521436799476
-54.975,-27.924999999999997,108.72029545006069,6904.742720293002,1347,1011.0,0.7505567928730512,1.1005915075230177
-52.775000000000006,-31.775,331.9215657969569,6483.132181746833,527,393.0,0.74573055028463,1.0735168688155643
-51.675000000000004,-30.124999999999996,434.9788041916003,6667.171271075683,10021,9045.0,0.9026045304859794,2.226047925144582
-53.475,-33.675,270.5446556602661,6271.129453786507,108,104.0,0.9629629629629629,3.1451096746285914
-55.775000000000006,-28.974999999999998,34.51561941589182,6785.373965366498,890,0.0,0.0,-7.484930283289661
-51.975,-28.824999999999996,404.87307901851796,6811.012374003792,2079,1215.0,0.5844155844155844,0.3407594886328329
-52.175000000000004,-29.224999999999998,385.7995832272577,6766.5141184495205,78860,71673.0,0.9088638092822724,2.299777677627882
-54.675000000000004,-29.474999999999998,143.57705175856438,6733.757306186935,17835,14443.0,0.8098121670871881,1.448677373639424
-52.125,-27.724999999999998,389.1035539427948,6932.753632856961,75,42.0,0.56,0.23795863709935047
-51.475,-28.124999999999996,453.3505064478626,6888.85945789857,585,370.0,0.6324786324786325,0.541892535192339
-54.925000000000004,-30.275,122.34469041758148,6644.213917750083,10439,9994.0,0.9573713957275601,3.1105929737598377
-52.575,-29.624999999999996,347.5171362622274,6721.730342159363,645,492.0,0.7627906976744186,1.1657938935848917
-55.825,-30.724999999999998,37.79689505854825,6590.916326314658,227,0.0,0.0,-6.12029741895095
